CEP,IPV4,CPF,telefone,data,UUID,"gausianomedia13,desviopadrao11","linear500,123"
95631-476,252.251.215.211,526.738.470-68,(82)	1634-7234,09/12/8194,4752aCAA-aBfA-5FFB-9BC8-1D9e25c7599a,12.135642050908062,500.0
27790-315,252.254.218.221,458.554.184-35,"(89)89223-5430",02/12/7584,Ae2e2CA5-a252-275B-Afea-E3ebCd928cC3,-5.0830755292259155,623.0
37270-970,238.246.8.236,672.281.220-92,(91)4701-0336,02/01/4606,DDafFDEb-ae06-3eb7-8D21-7f1a243EFaa9,16.903046347376776,746.0
24333-486,254.206.0.202,108.275.899-18,(90)36404-4668,05/12/0883,8CBB342B-3CaB-5ed0-B96c-eCCa3f4de293,-5.678703162710331,869.0
51479-404,252.25.250.254,478.449.820-67,"(79)14972-0810",31/11/9459,0bdAD68C-3AB7-44Ff-bBDf-1b41ba4F8de4,11.581653945806655,992.0
95108-428,249.037.233.97,169.137.622-61,"(62)94740-7819",30/08/7138,e173bA1c-f6BD-1feD-B82b-cE97Bf8ffA5A,19.62485777820555,1115.0
55599-786,255.252.1.228,523.681.948-86,(46) 44421-9307,11/03/3535,4Fc3F85A-fccB-5bdF-a7dD-2b52a530C7Ad,21.98703370568586,1238.0
53137-888,254.255.9.246,068.561.539-95,(64)50082-9096,13/12/2150,890f909A-9dDf-3F34-a0D2-36Ac242E16D5,5.474750561176313,1361.0
99008-284,226.254.254.227,978.392.529-96,"(52)97241-2692",26/07/7600,bA6de8eE-8D9d-1F5C-9cAb-dfd03B2cb2d6,16.38506379998101,1484.0
04927-125,251.209.080.113,348.244.523-09,(93)1284-1113,31/11/6134,CBa1A9eb-A4F6-3adf-973D-Ec6CC3fcb58E,15.563324907016447,1607.0
15763-013,214.248.5.253,965.142.198-10,"(24)2759-4730",24/11/0191,C5668e27-e7e1-1BA8-b49e-0aC3eD7DfB08,13.11592554452957,1730.0
94679-200,230.041.231.245,304.940.587-28,(56)41412-4992,25/01/5133,50feb1Af-ca8B-3461-Abc8-DBf242efCcCd,17.95948637822999,1853.0
11271-020,189.251.210.221,794.645.695-75,"(99)27363-8493",13/06/3188,71Ca492b-3cba-38B1-A73d-4AFbeFbB1841,24.248716948684972,1976.0
82538-117,097.044.92.106,800.182.942-42,"(78)6166-5898",03/10/6131,31c035f1-c4AE-5A62-BB7f-bf2ED148Ef2D,24.196633908577457,2099.0
72825-969,2.253.253.218,048.634.235-46,(50)94016-2676,20/11/0115,cfA28fe3-Dadb-1A28-9Ad7-ddd6ba8dc7EC,14.803641367190288,2222.0
35985-261,224.216.3.240,803.340.770-66,(63)5971-3150,27/11/8739,d89Cc6eF-e4d5-2Cee-983b-f7cbDaCd74c7,7.731761032653562,2345.0
24650-490,224.250.2.176,350.761.731-28,(78)91683-7803,23/05/7411,10A0F80c-3fb2-4eb7-899D-9afAD926Ba7f,15.821874392881533,2468.0
75718-220,213.252.14.084,474.685.440-75,(15)	38508-5978,14/11/5679,A6E6B7E3-24A5-40bb-8d0D-F8D02e85fdF6,-14.152646588194429,2591.0
08931-818,251.252.255.252,895.426.018-34,"(06)
12567-8653",30/08/0395,DECFdAeA-f4a5-5DEc-A5dA-fFA5D7ba4eF6,1.038782039939436,2714.0
87914-789,255.251.244.251,762.653.720-38,(96) 8692-0941,08/10/4389,DEFCB358-DCB7-56Ec-BA98-A536E50f0ABa,23.751605821145493,2837.0
11568-250,255.246.251.254,383.827.355-59,(03)6181-0672,31/03/5897,d9a16Aa5-CD26-37BA-9E10-D7ad5D1FdAa4,32.493983246201324,2960.0
35718-517,236.30.253.49,062.019.641-43,(88)	6917-1630,09/11/6743,0B40BD18-1aaB-111f-aB0e-bEA2cD5CCDB6,2.7465724014515764,3083.0
37826-955,254.15.252.6,598.208.115-14,"(78)
4293-3235",30/12/3813,ADDce52c-E0aE-3617-Ba0d-FFeC8Ff22E7c,9.374905395269963,3206.0
79960-813,206.248.0.210,717.872.132-54,(38)	85132-3666,31/11/8122,aBE8f3D4-F3ae-5de9-8Cca-46Ae206Ebb38,1.0026856055178168,3329.0
46118-951,233.253.48.251,939.536.445-91,"(30)
9943-8041",31/07/6538,fa82ccFE-eefb-19BD-abdC-dab3b03Ed12c,40.30009322933475,3452.0
69265-445,2.217.14.05,988.273.766-79,"(23)
5845-1702",23/11/6486,90fa31fF-2aE8-4b3c-BBc3-DdBcc9EB201e,3.041924773499721,3575.0
73177-791,085.226.228.111,762.091.750-08,(87)	1459-4869,07/03/0640,cED2DFca-DA2B-27aD-9f06-D1F47dAFfa43,5.196052958727759,3698.0
27177-514,227.205.087.248,821.259.934-65,"(25)
74170-3962",26/02/0834,DCCb1EEA-FB7c-26D2-a516-Bb59EAfEf1c2,19.983476888634062,3821.0
69133-964,253.220.166.8,488.204.899-56,(98)26658-7901,30/12/3159,78c6c86A-BcF0-2489-ADBB-192e9AfbCA48,-4.2720910253518625,3944.0
37182-502,250.26.252.253,768.109.816-16,(41)	7423-6763,31/05/6500,42b2FaF6-b8ab-2c4B-BAD4-C5Ad2bfEfbFA,8.869556546083459,4067.0
40484-699,254.251.255.200,491.426.230-43,(81) 2840-1715,12/04/4466,0BAFdcEa-4EaE-22fE-aF56-b8aB5D128B9C,15.903230430552782,4190.0
80688-686,3.253.237.12,116.514.888-57,(12)4905-8468,16/12/2828,Ad2AF2D8-b47c-459B-A51a-fae78fE6ab72,14.292580685886556,4313.0
75494-841,255.232.249.079,612.216.989-66,(37) 73428-1796,31/09/9300,86260AD9-D9AC-2385-aFCD-7EF4A91aeF5c,29.980442421205957,4436.0
28690-620,252.2.254.002,681.603.062-04,(63) 2044-7569,13/04/3839,a7c6D6A1-6dd8-5958-a35E-00c3453DDf3A,27.305156598486768,4559.0
38287-182,11.252.11.212,277.786.844-73,(10)	75328-7007,31/08/0626,AFf423A2-C1df-3a13-9aef-9D7EEA2c0fe9,23.53005768092083,4682.0
50684-142,5.237.029.253,564.525.795-00,(85)6783-5620,02/10/2304,5A4333Fb-1737-10ee-8A25-5D1c8a66Cd3d,8.798461725810798,4805.0
02256-106,49.218.229.252,302.610.626-54,"(95)
35427-8544",06/06/8781,fC0dCAf0-c9fD-164c-87F9-dAeDDd57FcEB,8.187043890832177,4928.0
50355-238,83.09.234.48,804.014.488-31,(78)0956-1823,30/10/4482,3d4C9ADA-410e-35Ca-A0Ac-5D0aD2c99321,-2.427710477409722,5051.0
00378-475,235.052.234.202,179.582.757-86,(21)85246-0898,04/03/8185,F1FD7892-bEE5-357f-9f76-FFd7a462ba4C,20.984874953364926,5174.0
15710-635,4.225.13.254,009.277.226-15,(80)	2450-1110,24/12/5742,9aaf7Ece-fcf0-5E0e-aF8b-0FaDa87E8dAd,35.3839776644099,5297.0
34016-378,07.017.201.04,972.721.457-86,(70)8364-9498,13/01/0782,Dda4Ec0B-7df5-1fA6-bd4c-A3fE3AA91B4b,7.743188006521584,5420.0
46176-617,08.250.15.13,678.792.066-94,"(22)6007-0090",30/07/7970,FCFB3d59-F5b0-13FB-85ee-7D88A7DFDcCB,4.701233386322954,5543.0
31326-869,07.255.211.229,519.016.181-96,(40)1631-6738,02/11/6206,433cDeC2-EBf4-2dA9-a2A1-A1fbD4cd78ca,21.627830483155936,5666.0
62024-778,252.6.210.208,367.820.302-11,(59)	31537-0774,26/04/4478,CCE84E1B-f4Cf-3Fa4-a3dd-9e1A6Aa41B15,32.00090444480094,5789.0
84045-024,201.255.251.219,380.382.863-42,(43)7026-6777,06/12/5287,CfBbd1Fd-22fE-2526-b027-cC29Aa4a3E0F,29.814066241606735,5912.0
18036-431,253.254.255.06,272.188.518-41,"(02)0276-3315",31/06/8848,B74fdc8B-D5De-294d-Af8d-11352B80BF40,25.775985081991195,6035.0
08928-015,201.251.59.3,867.962.437-31,(64)97061-5645,02/11/8827,fdFD1DF3-eaB4-5de9-942A-3EBfF9eAfCB8,15.955332704189178,6158.0
